isn_dob_bis_viol,boro,bin,block,lot,issue_date,violation_type_code,violation_number,house_number,street,device_number,description,number,violation_category,violation_type,disposition_date,disposition_comments,ecb_number
2359164,3,3050643,1803.0,72.0,20190502,BENCH,02072,285,QUINCY STREET,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V050219BENCH02072,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2427627,3,3247066,8776.0,1.0,20190904,AEUHAZ1,00467,3087,OCEAN AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*090419AEUHAZ100467,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191202.0,GNC    PAID INVOICE 62141397,35437145K
2327195,1,1061905,2076.0,19.0,20190306,AEUHAZ1,00237,533,WEST 144 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*030619AEUHAZ100237,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190426.0,ECB DISMISSED,35352400X
2320798,2,2129503,2609.0,41.0,20190123,AEUHAZ1,00172,1193,FULTON AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*012319AEUHAZ100172,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190411.0,999999 PD INV#62076457,35332427H
2349250,1,1019638,902.0,15.0,20190516,AEUHAZ1,00137,221,EAST 21 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*051619AEUHAZ100137,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190906.0,ECB DOWNGRADED TO CLASS 2 OR 3,35374060X
2427895,1,1013599,760.0,43.0,20191112,LL2604S,NRF00030,535,8TH AVENUE,,"FAILED TO FILE FINAL SPRINKLER REPORT BY JULY 1, 2019",V111219LL2604SNRF00030,V-DOB VIOLATION - ACTIVE,LL2604S-SPRINKLER,,,
2419243,3,3120378,5212.0,43.0,20191108,LBLVIO,10733,2516,NEWKIRK AVENUE,00160306,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO10733,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2349572,2,2007844,2820.0,60.0,20190516,AEUHAZ1,00459,1507,MORRIS AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V051619AEUHAZ100459,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35381526Y
2337678,1,1059061,1944.0,18.0,20190405,EVCAT1,01507,400,MANHATTAN AVE,1P31257,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V040519EVCAT101507,V-DOB VIOLATION - ACTIVE,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,,,
2395883,1,1077508,255.0,1.0,20190906,ACH1,00097,45,PIKE ST,1P26926,VIO ISSUED TO NYCHA ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST,V*090619ACH100097,V*-DOB VIOLATION - DISMISSED,ACH1-(NYCHA) - ELEVATOR AFFIRMATION OF CORRECTION,20191129.0,DG     PERFORMED AOC ON 03/26/2018 FOR 2017,
2317949,1,1082600,1036.0,21.0,20190109,AEUHAZ1,00151,317,WEST 45 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*010919AEUHAZ100151,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190409.0,JTR    COFC APPROVED BEFORE AEUHAZ,35360583H
2337390,1,1036877,1311.0,28.0,20190405,EVCAT1,01219,141,E 56TH ST,1P20584,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V*040519EVCAT101219,V*-DOB VIOLATION - DISMISSED,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,20190430.0,CAT1   2017 INSP/TEST WAS DONE ON 01/19/17.,
2367031,3,3006988,427.0,12.0,20190626,AEUHAZ1,00672,600,DEGRAW STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V062619AEUHAZ100672,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35401942Z
2416982,3,3016422,866.0,43.0,20191108,LBLVIO,08472,5910,8 AVENUE,00077879,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO08472,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2361656,4,4136503,6172.0,6.0,20190503,BENCH,00784,36-02,BELL BOULEVARD,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V*050319BENCH00784,V*-DOB VIOLATION - DISMISSED,BENCH-FAILURE TO BENCHMARK,20200603.0,PAID ON 5/21/2020 CPY004820598,
2384500,1,1001015,42.0,31.0,20190906,ACC1,00129,78,MAIDEN LANE,1P637,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC100129,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2410360,1,1023758,1011.0,45.0,20191108,LBLVIO,01850,128,CENTRAL PARK SOUTH,00081041,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V*110819LBLVIO01850,V*-DOB VIOLATION - DISMISSED,LBLVIO-LOW PRESSURE BOILER,20191218.0,"DAACIA DISMISSED,FULL PENALTY PD $1000         INV#62149763 CHK#0411027889",
2380352,2,2007655,2807.0,27.0,20190802,BENCH,00698,1975,CRESTON AVENUE,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V080219BENCH00698,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2331383,1,1013508,753.0,76.0,20190306,AEUHAZ1,00033,364,WEST 30 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V030619AEUHAZ100033,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35373622Y
2411791,1,1054737,1796.0,6.0,20191108,LBLVIO,03281,307,EAST 119 STREET,00909263,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO03281,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2430830,4,4058984,2603.0,87.0,20191102,BENCH,01230,56-71,49 PLACE,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V110219BENCH01230,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2386021,1,1022628,997.0,17.0,20190906,ACC1,01650,133,W 44TH ST,1P40612,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC101650,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2393900,1,1027085,1087.0,25.0,20190906,ACC1,09529,899,10 AVENUE,1E20847,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC109529,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2331499,1,1082502,1059.0,4.0,20190306,AEUHAZ1,00149,722,10 AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*030619AEUHAZ100149,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190712.0,ECB DOWNGRADED TO CLASS 2 OR 3,35373686N
2318775,3,3378408,2787.0,33.0,20190109,AEUHAZ1,00977,119,MAUJER STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V010919AEUHAZ100977,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35348344Z
2390312,3,3320628,7279.0,231.0,20190906,ACC1,05941,543,SURF AVENUE,3P6265,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V*090619ACC105941,V*-DOB VIOLATION - DISMISSED,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,20190909.0,ACC1    2017 AOC WAS DONE ON TIME.04/06/18,
2351713,4,4864756,11404.0,11404.0,20190520,EVCAT5,00166,137-08,REDDING STREET,4P12381,FAILURE TO PERFORM CATEGORY 5 INSPECTION,V*052019EVCAT500166,V*-DOB VIOLATION - DISMISSED,EVCAT5-NON-RESIDENTIAL ELEVATOR PERIODIC INSPECTION/TEST,20200106.0,CAT5   2017 FAILURE TO FILE PENALTY PAID.,
2414586,3,3065618,2620.0,3.0,20191108,LBLVIO,06076,110,MESEROLE AVENUE,00032656,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO06076,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2377301,3,3327972,3077.0,1.0,20190814,FISP,HAZ88335,29,LEONARD STREET,00809630,,V081419FISPHAZ88335,V-DOB VIOLATION - ACTIVE,FISP-FACADE SAFETY PROGRAM,,,
2410254,1,1051738,1625.0,33.0,20191108,LBLVIO,01744,1760,3 AVENUE,00076928,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V*110819LBLVIO01744,V*-DOB VIOLATION - DISMISSED,LBLVIO-LOW PRESSURE BOILER,20200207.0,"DAACIA DISMISSED,FULL PENALTY PD $1000         INV#62164347 CHK#0282-007348",
2327460,2,2114112,2872.0,320.0,20190306,AEUHAZ1,00502,1491,MACOMBS ROAD,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*030619AEUHAZ100502,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190419.0,ECB DISMISSED,35374712M
2400877,2,2085859,5914.0,315.0,20191001,RWNRF,00430,640,WEST 249 STREET,,FAILED TO FILE CYCLE 1 TECHNICAL REPORT BY 12/31/2018 PER RCNY 103-09,V100119RWNRF00430,V-DOB VIOLATION - ACTIVE,RWNRF-RETAINING WALL,,,
2381468,4,4000858,128.0,1.0,20190802,BENCH,01606,39-77,51 STREET,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V080219BENCH01606,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2434483,1,1026597,1058.0,25.0,20191226,AEUHAZ1,00046,411,WEST 48 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V122619AEUHAZ100046,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35443887K
2398470,5,5071757,5467.0,49.0,20190919,AEUHAZ1,00761,110,ABINGDON AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V091919AEUHAZ100761,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35422306K
2419499,3,3032562,1259.0,34.0,20191108,LBLVIO,10989,1530,BEDFORD AVENUE,00166754,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO10989,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2370006,3,3198028,7318.0,37.0,20190709,AEUHAZ1,00503,2068,EAST 14 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V070919AEUHAZ100503,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35405464L
2432284,1,1077807,135.0,7502.0,20191211,AEUHAZ1,00173,18,WARREN STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V121119AEUHAZ100173,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,39009647P
2384944,1,1088641,543.0,53.0,20190906,ACC1,00573,133,MACDOUGAL ST,1P46293,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC100573,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2388630,3,3001727,232.0,1.0,20190906,ACC1,04259,79,CLARK ST,3P6835,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC104259,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2331799,3,3335515,2276.0,37.0,20190306,AEUHAZ1,00450,741,FLUSHING AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V030619AEUHAZ100450,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,38264219K
2329628,1,1040354,1366.0,39.0,20190316,EARCX,10052,412,EAST 55 STREET,,FAILURE TO SUBMIT AN EER PER AD. CODE SEC. 28-308.4 IN 2016,V031619EARCX10052,V-DOB VIOLATION - ACTIVE,EARCX-FAILURE TO SUBMIT EER,,,
2417477,3,3337751,1048.0,150.0,20191108,LBLVIO,08967,247,16 STREET,00095077,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO08967,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2338130,3,3189815,7077.0,44.0,20190405,EVCAT1,01959,49,AVE T,3W431,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V*040519EVCAT101959,V*-DOB VIOLATION - DISMISSED,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,20190521.0,CIAMDD EBN 115/17SO/013018#2559,
2390374,4,4433860,3175.0,1.0,20190906,ACC1,06003,104-20,QUEENS BOULEVARD,4P3288,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V*090619ACC106003,V*-DOB VIOLATION - DISMISSED,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,20190925.0,CAT 1  2017 AOC FILED PAID LATE FEES #62009214,
2415189,3,3221024,7896.0,41.0,20191108,LBLVIO,06679,5104,AVENUE N,00055606,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO06679,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2340486,1,1000023,10.0,14.0,20190405,EVCAT1,04315,27,PEARL ST,1P33538,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V*040519EVCAT104315,V*-DOB VIOLATION - DISMISSED,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,20190829.0,CAT 1  2017 CAT 1 FILED,
2410814,1,1054034,1750.0,23.0,20191108,LBLVIO,02304,57,E 125 ST,00108487,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO02304,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2411991,1,1085359,1987.0,37.0,20191108,LBLVIO,03481,506,WEST 134 STREET,00920223,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO03481,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2389350,3,3245726,8721.0,375.0,20190906,ACC1,04979,1311,BRIGHTWATER AV,3P5364,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V090619ACC104979,V-DOB VIOLATION - ACTIVE,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,,,
2356646,4,4286380,13459.0,29.0,20190529,AEUHAZ1,00770,225-16,146 AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V052919AEUHAZ100770,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35379442Y
2393702,1,1001068,62.0,7501.0,20190906,ACC1,09331,149,BROADWAY,1P29132,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V*090619ACC109331,V*-DOB VIOLATION - DISMISSED,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,20191220.0,CAT1   FAILED TO FILE 2017 AOC                 PENALTY PAID #62150508,
2337249,1,1035328,1275.0,69.0,20190405,EVCAT1,01078,471,5TH AVE,1S4046,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V*040519EVCAT101078,V*-DOB VIOLATION - DISMISSED,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,20190508.0,EVCAT1 2017 ANNUAL INSPECTION PROFORMED        10/12/17,
2382884,1,1008419,529.0,3.0,20190903,LL2604S,NRF00753,648,BROADWAY,,"FAILED TO FILE FINAL SPRINKLER REPORT BY JULY 1, 2019",V*090319LL2604SNRF00753,V*-DOB VIOLATION - DISMISSED,LL2604S-SPRINKLER,20200727.0,CAW,
2338239,4,4046000,1861.0,1.0,20190405,EVCAT1,02068,91-31,QUEENS BLVD,4D292,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V040519EVCAT102068,V-DOB VIOLATION - ACTIVE,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,,,
2400910,2,2103867,3178.0,14.0,20191001,RWNRF,00463,2090,WALTON AVENUE,,FAILED TO FILE CYCLE 1 TECHNICAL REPORT BY 12/31/2018 PER RCNY 103-09,V100119RWNRF00463,V-DOB VIOLATION - ACTIVE,RWNRF-RETAINING WALL,,,
2368082,5,5159544,7632.0,23.0,20190626,AEUHAZ1,01723,4885,ARTHUR KILL ROAD,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*062619AEUHAZ101723,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20190719.0,ECB DOWNGRADED TO CLASS 2 OR 3,35404289Z
2370143,4,4085765,3554.0,77.0,20190709,AEUHAZ1,00640,1647,SUMMERFIELD STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*070919AEUHAZ100640,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191030.0,810    PAID INV 62134421,35407056L
2419586,3,3072123,3166.0,5.0,20191108,LBLVIO,11076,175,KNICKERBOCKER AVENUE,00171469,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO11076,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2398411,4,4267102,12331.0,4.0,20190919,AEUHAZ1,00702,167-07,115 AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V091919AEUHAZ100702,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35243174Y
2384473,1,1000875,38.0,1.0,20190906,ACC1,00102,96,WALL ST,1P28427,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V*090619ACC100102,V*-DOB VIOLATION - DISMISSED,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,20200403.0,CAT 1  2017 AFFIRMATION OF CORRECTION FILED,
2403706,2,2023532,3716.0,32.0,20191017,AEUHAZ1,00512,1068,WARD AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*101719AEUHAZ100512,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191129.0,ECB DOWNGRADED TO CLASS 2 OR 3,35442125J
2360287,4,4038847,1553.0,35.0,20190502,BENCH,03195,90-31,WHITNEY AVENUE,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V*050219BENCH03195,V*-DOB VIOLATION - DISMISSED,BENCH-FAILURE TO BENCHMARK,20190611.0,PD INV#62094038,
2433161,3,3421880,4586.0,500.0,20191211,C,CC05PS02,911,ERSKINE STREET,,,VP*121119CCC05PS02,VP*-VIOLATION UNSERVED ECB- DISMISSED,C-CONSTRUCTION,20200818.0,OK TO DISMISS/WRITTEN IN ERROR,35462758H
2432661,3,3152940,6029.0,25.0,20191211,AEUHAZ1,00550,8412,10 AVENUE,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V121119AEUHAZ100550,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1,,,35451166K
2409340,1,1024850,1026.0,21.0,20191108,LBLVIO,00830,1710,BROADWAY,00039965,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO00830,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2403254,1,1009617,576.0,36.0,20191017,AEUHAZ1,00060,2,WEST 13 STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*101719AEUHAZ100060,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191230.0,62145320,35368985R
2364011,B,3323299,392.0,1.0,20190430,FISPNRF,00945,423,BALTIC STREET,8C809172,FAILED TO FILE FISP CYCLE 8C TECHNICAL REPORT BY 02/21/2019,V043019FISPNRF00945,V-DOB VIOLATION - ACTIVE,FISPNRF-NO REPORT AND / OR LATE FILING (FACADE),,,
2420245,3,3058476,2090.0,1.0,20191108,LBLVIO,11735,269,CARLTON AVENUE,00827762,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO11735,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2358014,1,1059649,1976.0,6.0,20190502,BENCH,00922,535,WEST 121 STREET,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V050219BENCH00922,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2411883,1,1030039,1145.0,105.0,20191108,LBLVIO,03373,171,WEST 73 STREET,00915976,VIOLATION ISSUED FOR FAILURE TO FILE ANNUAL BOILER 2017 INSPECTION REPORT,V110819LBLVIO03373,V-DOB VIOLATION - ACTIVE,LBLVIO-LOW PRESSURE BOILER,,,
2398040,3,3044341,1626.0,59.0,20190919,AEUHAZ1,00331,687,QUINCY STREET,,FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION,V*091919AEUHAZ100331,V*-DOB VIOLATION - DISMISSED,AEUHAZ1-FAIL TO CERTIFY CLASS 1,20191106.0,810    PAID INV 62137089,35434472Y
2330684,1,1087442,1786.0,9.0,20190318,EARCX,00352,219,EAST 121 STREET,,FAILURE TO SUBMIT AN EER PER AD. CODE SEC. 28-308.4 - MULTIPLE YEARS (2018),V*031819EARCX00352,V*-DOB VIOLATION - DISMISSED,EARCX-FAILURE TO SUBMIT EER,20190701.0,PD INV#62102363,
2344622,3,3324854,2326.0,5.0,20190305,E,9027/645043,149,WYTHE AVENUE,03W11186,,V*030519E9027/645043,V*-DOB VIOLATION - Resolved,E-ELEVATOR,20190418.0,"PPN203 AOC SUB ON 4/5/19 BY:GOTHAM ELEV. INSP. JOHN ASTON, CERT#487010",
2384635,1,1001241,88.0,18.0,20190906,ACC1,00264,225,BWAY,1P15769,VIO ISSUED TO ELEVATOR - FAIL TO CORRECT DEFECTS ON 2017 CAT 1 INSP/TST TST,V*090619ACC100264,V*-DOB VIOLATION - DISMISSED,ACC1-(OTHER BLDGS TYPES) - ELEVATOR AFFIRMATION OF CORRECTION,20190930.0,ACC1   2017 AOC INSPECTION PROFORMED 4/14/18,
2363430,M,1043215,1412.0,63.0,20190430,FISPNRF,00364,120,EAST 78 STREET,8C805131,FAILED TO FILE FISP CYCLE 8C TECHNICAL REPORT BY 02/21/2019,V043019FISPNRF00364,V-DOB VIOLATION - ACTIVE,FISPNRF-NO REPORT AND / OR LATE FILING (FACADE),,,
2430437,3,3070656,3001.0,16.0,20191102,BENCH,00837,21,GARDNER AVENUE,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V110219BENCH00837,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2336694,1,1014206,775.0,64.0,20190405,EVCAT1,00523,244,W 26TH ST,1P45031,VIOLATION ISSUED TO ELEVATOR - FAILURE TO FILE CATEGORY 1 2017 INSPECTION/TEST,V040519EVCAT100523,V-DOB VIOLATION - ACTIVE,EVCAT1-ELEVATOR ANNUAL INSPECTION / TEST,,,
2352049,5,5013953,534.0,534.0,20190520,EVCAT5,00502,135,VANDERBILT AVENUE,5P376,FAILURE TO PERFORM CATEGORY 5 INSPECTION,V*052019EVCAT500502,V*-DOB VIOLATION - DISMISSED,EVCAT5-NON-RESIDENTIAL ELEVATOR PERIODIC INSPECTION/TEST,20190613.0,EVCAT5 2012 CAT5 PENALTY PAID,
2360106,4,4436792,410.0,30.0,20190502,BENCH,03014,40-20,22 STREET,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V050219BENCH03014,V-DOB VIOLATION - ACTIVE,BENCH-FAILURE TO BENCHMARK,,,
2358326,2,2004023,2592.0,21.0,20190502,BENCH,01234,820,EAST 141 STREET,,FAILURE TO FILE BENCHMARKING REPORT OF ENERGY USE AS PER AD. CODE SEC. 28-309.4,V*050219BENCH01234,V*-DOB VIOLATION - DISMISSED,BENCH-FAILURE TO BENCHMARK,20191108.0,PD INV#__62138903,
