"Class","Age","Sex","SurvivalStatus"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Quantity[24., ""Years""]","male","died"
"3rd","Quantity[21., ""Years""]","female","survived"
"3rd","Quantity[39., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[1., ""Years""]","female","survived"
"3rd","Quantity[24., ""Years""]","female","survived"
"3rd","Quantity[4., ""Years""]","female","survived"
"3rd","Quantity[25., ""Years""]","male","survived"
"3rd","Quantity[20., ""Years""]","male","died"
"3rd","Quantity[24.5, ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[29., ""Years""]","male","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[22., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[40., ""Years""]","male","died"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Quantity[18., ""Years""]","female","survived"
"3rd","Quantity[4., ""Years""]","male","died"
"3rd","Quantity[10., ""Years""]","male","died"
"3rd","Quantity[9., ""Years""]","female","died"
"3rd","Quantity[2., ""Years""]","female","died"
"3rd","Quantity[40., ""Years""]","male","died"
"3rd","Quantity[45., ""Years""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Quantity[19., ""Years""]","male","died"
"3rd","Quantity[30., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[32., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[33., ""Years""]","male","died"
"3rd","Quantity[23., ""Years""]","female","survived"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Quantity[60.5, ""Years""]","male","died"
"3rd","Quantity[19., ""Years""]","male","died"
"3rd","Quantity[22., ""Years""]","female","died"
"3rd","Quantity[31., ""Years""]","male","survived"
"3rd","Quantity[27., ""Years""]","male","died"
"3rd","Quantity[2., ""Years""]","female","died"
"3rd","Quantity[29., ""Years""]","female","died"
"3rd","Quantity[16., ""Years""]","male","survived"
"3rd","Quantity[44., ""Years""]","male","survived"
"3rd","Quantity[25., ""Years""]","male","died"
"3rd","Quantity[74., ""Years""]","male","died"
"3rd","Quantity[14., ""Years""]","male","survived"
"3rd","Quantity[24., ""Years""]","male","died"
"3rd","Quantity[25., ""Years""]","male","survived"
"3rd","Quantity[34., ""Years""]","male","died"
"3rd","Quantity[0.4167, ""Years""]","male","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[16., ""Years""]","female","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","female","survived"
"3rd","Quantity[32., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[30.5, ""Years""]","male","died"
"3rd","Quantity[44., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[25., ""Years""]","male","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[7., ""Years""]","male","survived"
"3rd","Quantity[9., ""Years""]","female","survived"
"3rd","Quantity[29., ""Years""]","female","survived"
"3rd","Quantity[36., ""Years""]","male","died"
"3rd","Quantity[18., ""Years""]","female","survived"
"3rd","Quantity[63., ""Years""]","female","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[11.5, ""Years""]","male","died"
"3rd","Quantity[40.5, ""Years""]","male","died"
"3rd","Quantity[10., ""Years""]","female","died"
"3rd","Quantity[36., ""Years""]","male","died"
"3rd","Quantity[30., ""Years""]","female","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[33., ""Years""]","male","died"
"3rd","Quantity[28., ""Years""]","male","died"
"3rd","Quantity[28., ""Years""]","male","died"
"3rd","Quantity[47., ""Years""]","male","died"
"3rd","Quantity[18., ""Years""]","female","died"
"3rd","Quantity[31., ""Years""]","male","died"
"3rd","Quantity[16., ""Years""]","male","died"
"3rd","Quantity[31., ""Years""]","female","died"
"3rd","Quantity[22., ""Years""]","male","survived"
"3rd","Quantity[20., ""Years""]","male","died"
"3rd","Quantity[14., ""Years""]","female","died"
"3rd","Quantity[22., ""Years""]","male","died"
"3rd","Quantity[22., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[32.5, ""Years""]","male","died"
"3rd","Quantity[38., ""Years""]","female","survived"
"3rd","Quantity[51., ""Years""]","male","died"
"3rd","Quantity[18., ""Years""]","male","died"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Quantity[47., ""Years""]","female","survived"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[28.5, ""Years""]","male","died"
"3rd","Quantity[21., ""Years""]","male","died"
"3rd","Quantity[27., ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[36., ""Years""]","male","died"
"3rd","Quantity[27., ""Years""]","male","died"
"3rd","Quantity[15., ""Years""]","female","survived"
"3rd","Quantity[45.5, ""Years""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Missing[""Not Available""]","male","died"
"3rd","Quantity[14.5, ""Years""]","female","died"
"3rd","Missing[""Not Available""]","female","died"
"3rd","Quantity[26.5, ""Years""]","male","died"
"3rd","Quantity[27., ""Years""]","male","died"
"3rd","Quantity[29., ""Years""]","male","died"
